seed,protocol,test_table,test_generator,contamination_mode,true_prevalence,valuation_method,real_mean_value,synthetic_mean_value,synthetic_negative_value_rate,source_task_value_gap
2029,P2,adult,TVAE,replace,0.05,data_oob,0.801010785052639,0.7651799939525419,0.0,0.035830791100097126
2029,P2,adult,TVAE,replace,0.05,knn_shapley,0.0007674374778931137,0.0007226879200301637,0.16,4.474955786295002e-05
2029,P2,adult,TVAE,replace,0.1,data_oob,0.8001027456792498,0.7968689468232643,0.0,0.0032337988559855146
2029,P2,adult,TVAE,replace,0.1,knn_shapley,0.0007891835099679927,0.0005413484102877027,0.16,0.00024783509968029
2029,P2,adult,TVAE,replace,0.25,data_oob,0.8156371055494477,0.8154980226265223,0.0,0.00013908292292541535
2029,P2,adult,TVAE,replace,0.25,knn_shapley,0.0007710261221354229,0.000750921633593593,0.176,2.0104488541829884e-05
2029,P2,adult,TVAE,replace,0.5,data_oob,0.7817251436897779,0.8063614665188571,0.0,-0.024636322829079238
2029,P2,adult,TVAE,replace,0.5,knn_shapley,0.0007557845401573542,0.0007610154598425809,0.178,-5.230919685226686e-06
2029,P2,adult,TVAE,replace,0.75,data_oob,0.8183211643234513,0.8104943896870203,0.0,0.007826774636431
2029,P2,adult,TVAE,replace,0.75,knn_shapley,0.0008103237107387008,0.0007437587630870516,0.14266666666666666,6.656494765164918e-05
2029,P2,adult,TVAE,replace,1.0,data_oob,,0.799863131056342,0.0,
2029,P2,adult,TVAE,replace,1.0,knn_shapley,,0.0007627999999999683,0.169,
2029,P3,credit,CTGAN,append,0.0,data_oob,0.7858758218268171,,,
2029,P3,credit,CTGAN,append,0.0,knn_shapley,0.0007099999999999643,,,
2029,P3,credit,CTGAN,append,0.050332383665717,data_oob,0.7755888778067748,0.8440863046869486,0.0,-0.0684974268801738
2029,P3,credit,CTGAN,append,0.050332383665717,knn_shapley,0.0006980762794792748,0.0009525506898930361,0.04,-0.0002544744104137612
2029,P3,credit,CTGAN,append,0.0999099909990999,data_oob,0.793667039664795,0.7513019687231871,0.0,0.04236507094160791
2029,P3,credit,CTGAN,append,0.0999099909990999,knn_shapley,0.0007240227092354967,0.000491795616880173,0.15,0.0002322270923553237
2029,P3,credit,CTGAN,append,0.2498124531132783,data_oob,0.7760895658866536,0.7398867842665918,0.0,0.03620278162006174
2029,P3,credit,CTGAN,append,0.2498124531132783,knn_shapley,0.000736382154652473,0.000636451863041122,0.1640625,9.993029161135098e-05
2029,P3,credit,CTGAN,append,0.5,data_oob,0.7644485629236055,0.7855864332420356,0.0,-0.021137870318430063
2029,P3,credit,CTGAN,append,0.5,knn_shapley,0.0007240800053038269,0.0007207729082489844,0.1437007874015748,3.3070970548424892e-06
2029,P3,credit,CTGAN,append,0.75,data_oob,0.7539123260169271,0.7665321554591559,0.0,-0.012619829442228725
2029,P3,credit,CTGAN,append,0.75,knn_shapley,0.000713743776526759,0.0006831520744910364,0.16533333333333333,3.0591702035722584e-05
2029,P3,credit,CTGAN,replace,0.0,data_oob,0.7858758218268171,,,
2029,P3,credit,CTGAN,replace,0.0,knn_shapley,0.0007099999999999643,,,
2029,P3,credit,CTGAN,replace,0.05,data_oob,0.7806946484929719,0.7887858277604299,0.0,-0.00809117926745806
2029,P3,credit,CTGAN,replace,0.05,knn_shapley,0.0006764003782080616,0.0008523928140461354,0.08,-0.00017599243583807378
2029,P3,credit,CTGAN,replace,0.1,data_oob,0.7799317917548468,0.7380615801338757,0.0,0.041870211620971154
2029,P3,credit,CTGAN,replace,0.1,knn_shapley,0.000710122789481038,0.0006688948946703039,0.15,4.12278948107341e-05
2029,P3,credit,CTGAN,replace,0.25,data_oob,0.7556865420684441,0.7626231062106512,0.0,-0.006936564142207113
2029,P3,credit,CTGAN,replace,0.25,knn_shapley,0.0006951896101202233,0.0007320311696391993,0.156,-3.6841559518976095e-05
2029,P3,credit,CTGAN,replace,0.5,data_oob,0.7409755922680906,0.753437303867817,0.0,-0.012461711599726422
