protocol,detector,calibration_policy,contamination_mode,true_prevalence,metric,n_seeds,mean,std,ci95_low,ci95_high
P2,column_positional_ablation,target_real_anchor,replace,0.75,contaminated_utility_delta,5,-0.007492540321696368,0.0032345946542885655,-0.01150882005270883,-0.0034762605906839055
P2,column_positional_ablation,target_real_anchor,replace,0.75,detector_cleanup_delta,5,-0.009154843454164941,0.0025401770300515596,-0.012308889821444124,-0.0060007970868857586
P2,column_positional_ablation,target_real_anchor,replace,0.75,decision_regret,5,0.002454578872649484,0.0004298567689785582,0.001920841198224616,0.0029883165470743524
P2,column_positional_ablation,target_real_anchor,replace,1.0,detection_auroc,5,0.7688575774947563,0.021710591853087245,0.7419003172110819,0.7958148377784307
P2,column_positional_ablation,target_real_anchor,replace,1.0,contaminated_utility_delta,5,-0.013768729461844414,0.004407428162331489,-0.0192412743356808,-0.00829618458800803
P2,column_positional_ablation,target_real_anchor,replace,1.0,detector_cleanup_delta,5,-0.026003888835251322,0.008372652093443555,-0.036399909509165565,-0.015607868161337083
P2,column_positional_ablation,target_real_anchor,replace,1.0,decision_regret,5,0.012666562760562402,0.006552685587822589,0.004530328974614424,0.02080279654651038
P2,datum_transformer,oracle_target,append,0.0,detection_auroc,5,0.7537994415193472,0.03113952120308499,0.7151346191201738,0.7924642639185205
P2,datum_transformer,oracle_target,append,0.0,contaminated_utility_delta,5,0.0019617881469842858,0.0024091826388047497,-0.0010296072007171145,0.004953183494685686
P2,datum_transformer,oracle_target,append,0.0,detector_cleanup_delta,5,0.0013912158094382082,0.002238387190376698,-0.001388108978893013,0.00417054059776943
P2,datum_transformer,oracle_target,append,0.0,decision_regret,5,0.00018228765007065892,0.0001831079428666915,-4.507089037206365e-05,0.0004096461905133815
P2,datum_transformer,oracle_target,append,0.050332383665717,detection_auroc,5,0.7537994415193472,0.03113952120308499,0.7151346191201738,0.7924642639185205
P2,datum_transformer,oracle_target,append,0.050332383665717,contaminated_utility_delta,5,0.0019122999887327401,0.0013044307801146392,0.0002926352509155421,0.003531964726549938
P2,datum_transformer,oracle_target,append,0.050332383665717,detector_cleanup_delta,5,0.001224491017748928,0.0015661165175155465,-0.0007200994790423807,0.0031690815145402366
P2,datum_transformer,oracle_target,append,0.050332383665717,decision_regret,5,0.00031272354522732,0.00019654581204023931,6.867968641923093e-05,0.0005567674040354091
P2,datum_transformer,oracle_target,append,0.0999099909990999,detection_auroc,5,0.7537994415193472,0.03113952120308499,0.7151346191201738,0.7924642639185205
P2,datum_transformer,oracle_target,append,0.0999099909990999,contaminated_utility_delta,5,0.0013002660415272118,0.0016511025591480317,-0.0007498485635090003,0.003350380646563424
P2,datum_transformer,oracle_target,append,0.0999099909990999,detector_cleanup_delta,5,0.0006429710803845198,0.002213003581104367,-0.0021048357941687765,0.003390777954937816
P2,datum_transformer,oracle_target,append,0.0999099909990999,decision_regret,5,0.0006057708029576556,0.0004963242722534406,-1.0497177334124969e-05,0.0012220387832494362
