protocol,test_table,test_generator,contamination_mode,true_prevalence,valuation_method,metric,n_seeds,mean,std,ci95_low,ci95_high
P1,adult,CTGAN,replace,0.75,knn_shapley,synthetic_mean_value,5,0.0007719570491596113,2.5285367796604055e-05,0.0007405611182852271,0.0008033529800339954
P1,adult,CTGAN,replace,0.75,knn_shapley,synthetic_negative_value_rate,5,0.1216,0.022438062899160144,0.09373946510868128,0.14946053489131872
P1,adult,CTGAN,replace,0.75,knn_shapley,source_task_value_gap,5,7.211803361405591e-06,9.190516580282557e-05,-0.00010690353226491064,0.00012132713898772183
P1,adult,CTGAN,replace,1.0,data_oob,real_mean_value,0,,,,
P1,adult,CTGAN,replace,1.0,data_oob,synthetic_mean_value,5,0.831782475427967,0.002253479828080833,0.8289844106547606,0.8345805402011734
P1,adult,CTGAN,replace,1.0,data_oob,synthetic_negative_value_rate,5,0.0,0.0,0.0,0.0
P1,adult,CTGAN,replace,1.0,data_oob,source_task_value_gap,0,,,,
P1,adult,CTGAN,replace,1.0,knn_shapley,real_mean_value,0,,,,
P1,adult,CTGAN,replace,1.0,knn_shapley,synthetic_mean_value,5,0.0007731999999999612,1.4045639892862627e-05,0.0007557600346132592,0.0007906399653866633
P1,adult,CTGAN,replace,1.0,knn_shapley,synthetic_negative_value_rate,5,0.11099999999999999,0.010653637876331256,0.09777176139905946,0.12422823860094051
P1,adult,CTGAN,replace,1.0,knn_shapley,source_task_value_gap,0,,,,
P2,adult,TVAE,append,0.0,data_oob,real_mean_value,5,0.8121813712553033,0.01242783860902988,0.7967501714789842,0.8276125710316224
P2,adult,TVAE,append,0.0,data_oob,synthetic_mean_value,0,,,,
P2,adult,TVAE,append,0.0,data_oob,synthetic_negative_value_rate,0,,,,
P2,adult,TVAE,append,0.0,data_oob,source_task_value_gap,0,,,,
P2,adult,TVAE,append,0.0,knn_shapley,real_mean_value,5,0.0007685599999999648,1.0456003060442964e-05,0.0007555771574347044,0.0007815428425652253
P2,adult,TVAE,append,0.0,knn_shapley,synthetic_mean_value,0,,,,
P2,adult,TVAE,append,0.0,knn_shapley,synthetic_negative_value_rate,0,,,,
P2,adult,TVAE,append,0.0,knn_shapley,source_task_value_gap,0,,,,
P2,adult,TVAE,append,0.050332383665717,data_oob,real_mean_value,5,0.821281993727235,0.02131221232531925,0.7948193869608116,0.8477446004936584
P2,adult,TVAE,append,0.050332383665717,data_oob,synthetic_mean_value,5,0.7963998703213921,0.04766690945619931,0.7372135849439909,0.8555861556987934
P2,adult,TVAE,append,0.050332383665717,data_oob,synthetic_negative_value_rate,5,0.0,0.0,0.0,0.0
P2,adult,TVAE,append,0.050332383665717,data_oob,source_task_value_gap,5,0.02488212340584295,0.0580152797422888,-0.04715336079587722,0.09691760760756311
P2,adult,TVAE,append,0.050332383665717,knn_shapley,real_mean_value,5,0.0007805165093675021,1.953259626708036e-05,0.0007562635877912192,0.0008047694309437851
P2,adult,TVAE,append,0.050332383665717,knn_shapley,synthetic_mean_value,5,0.0006913107858400667,0.00019613566988708835,0.000447776185777691,0.0009348453859024425
P2,adult,TVAE,append,0.050332383665717,knn_shapley,synthetic_negative_value_rate,5,0.18144871794871795,0.05115954116489415,0.11792575751964542,0.2449716783777905
P2,adult,TVAE,append,0.050332383665717,knn_shapley,source_task_value_gap,5,8.920572352743551e-05,0.0002115729510575266,-0.00017349679279442227,0.0003519082398492933
P2,adult,TVAE,append,0.0999099909990999,data_oob,real_mean_value,5,0.8070862550143862,0.011818237242431086,0.7924119753082286,0.8217605347205439
P2,adult,TVAE,append,0.0999099909990999,data_oob,synthetic_mean_value,5,0.7787221654019618,0.023910486076150962,0.7490333756616527,0.8084109551422709
P2,adult,TVAE,append,0.0999099909990999,data_oob,synthetic_negative_value_rate,5,0.0,0.0,0.0,0.0
P2,adult,TVAE,append,0.0999099909990999,data_oob,source_task_value_gap,5,0.028364089612424336,0.025564031461705803,-0.0033778479025241073,0.06010602712737278
P2,adult,TVAE,append,0.0999099909990999,knn_shapley,real_mean_value,5,0.0007739865686828297,1.637947220538204e-05,0.0007536487677358276,0.0007943243696298318
P2,adult,TVAE,append,0.0999099909990999,knn_shapley,synthetic_mean_value,5,0.0006694270009619509,8.672582580594332e-05,0.0005617426653442201,0.0007771113365796817
P2,adult,TVAE,append,0.0999099909990999,knn_shapley,synthetic_negative_value_rate,5,0.1946976080435368,0.01918005156100508,0.1708824285365449,0.21851278755052872
P2,adult,TVAE,append,0.0999099909990999,knn_shapley,source_task_value_gap,5,0.0001045595677208789,9.238336765671262e-05,-1.0149533931283193e-05,0.000219268669373041
P2,adult,TVAE,append,0.2498124531132783,data_oob,real_mean_value,5,0.8137303662241357,0.018539756510741176,0.7907102180292845,0.836750514418987
P2,adult,TVAE,append,0.2498124531132783,data_oob,synthetic_mean_value,5,0.8126595407895486,0.02822393738894692,0.777614893846136,0.8477041877329612
P2,adult,TVAE,append,0.2498124531132783,data_oob,synthetic_negative_value_rate,5,0.0,0.0,0.0,0.0
P2,adult,TVAE,append,0.2498124531132783,data_oob,source_task_value_gap,5,0.0010708254345873191,0.01672722338381059,-0.019698765631002434,0.02184041650017707
P2,adult,TVAE,append,0.2498124531132783,knn_shapley,real_mean_value,5,0.0007897917342207222,3.0084523882174988e-05,0.0007524368640131242,0.0008271466044283202
P2,adult,TVAE,append,0.2498124531132783,knn_shapley,synthetic_mean_value,5,0.0007375521452077795,8.347495422675513e-05,0.0006339042997927105,0.0008411999906228486
P2,adult,TVAE,append,0.2498124531132783,knn_shapley,synthetic_negative_value_rate,5,0.1677107366223613,0.01622452562533111,0.14756532726545324,0.18785614597926936
P2,adult,TVAE,append,0.2498124531132783,knn_shapley,source_task_value_gap,5,5.223958901294245e-05,0.00011074798816715187,-8.527220076770649e-05,0.00018975137879359138
P2,adult,TVAE,append,0.5,data_oob,real_mean_value,5,0.8120068376942869,0.01374259651655207,0.7949431503578438,0.8290705250307301
P2,adult,TVAE,append,0.5,data_oob,synthetic_mean_value,5,0.807365722441505,0.008411100475822287,0.7969219617954019,0.817809483087608
P2,adult,TVAE,append,0.5,data_oob,synthetic_negative_value_rate,5,0.0,0.0,0.0,0.0
P2,adult,TVAE,append,0.5,data_oob,source_task_value_gap,5,0.004641115252782146,0.008401798084038088,-0.0057910949483453095,0.015073325453909603
P2,adult,TVAE,append,0.5,knn_shapley,real_mean_value,5,0.0007929302826801202,2.9240285077909454e-05,0.0007566236734016653,0.000829236891958575
P2,adult,TVAE,append,0.5,knn_shapley,synthetic_mean_value,5,0.0007580153141074519,2.25926533925437e-05,0.0007299628297660342,0.0007860677984488695
P2,adult,TVAE,append,0.5,knn_shapley,synthetic_negative_value_rate,5,0.16738292467052668,0.032260835679215186,0.1273258064556777,0.20744004288537565
P2,adult,TVAE,append,0.5,knn_shapley,source_task_value_gap,5,3.491496857266827e-05,4.3639412078037315e-05,-1.9270518307409175e-05,8.910045545274572e-05
P2,adult,TVAE,append,0.75,data_oob,real_mean_value,5,0.7857104211883691,0.02856774953113709,0.7502388750858537,0.8211819672908844
P2,adult,TVAE,append,0.75,data_oob,synthetic_mean_value,5,0.7994232525689007,0.009504159652457246,0.7876222796952637,0.8112242254425377
P2,adult,TVAE,append,0.75,data_oob,synthetic_negative_value_rate,5,0.0,0.0,0.0,0.0
P2,adult,TVAE,append,0.75,data_oob,source_task_value_gap,5,-0.013712831380531698,0.0315809957963789,-0.05292581688831979,0.025500154127256397
P2,adult,TVAE,append,0.75,knn_shapley,real_mean_value,5,0.0007785620538758276,4.144617768008364e-05,0.0007270998271873114,0.0008300242805643438
P2,adult,TVAE,append,0.75,knn_shapley,synthetic_mean_value,5,0.0007691860858185706,2.2079645352660183e-05,0.0007417705850910654,0.0007966015865460758
P2,adult,TVAE,append,0.75,knn_shapley,synthetic_negative_value_rate,5,0.160838102995792,0.015023238443169946,0.1421842886844771,0.17949191730710687
P2,adult,TVAE,append,0.75,knn_shapley,source_task_value_gap,5,9.37596805725689e-06,5.716845649955241e-05,-6.160804621111533e-05,8.03599823256291e-05
P2,adult,TVAE,replace,0.0,data_oob,real_mean_value,5,0.8121813712553033,0.01242783860902988,0.7967501714789842,0.8276125710316224
P2,adult,TVAE,replace,0.0,data_oob,synthetic_mean_value,0,,,,
P2,adult,TVAE,replace,0.0,data_oob,synthetic_negative_value_rate,0,,,,
P2,adult,TVAE,replace,0.0,data_oob,source_task_value_gap,0,,,,
P2,adult,TVAE,replace,0.0,knn_shapley,real_mean_value,5,0.0007685599999999648,1.0456003060442964e-05,0.0007555771574347044,0.0007815428425652253
P2,adult,TVAE,replace,0.0,knn_shapley,synthetic_mean_value,0,,,,
P2,adult,TVAE,replace,0.0,knn_shapley,synthetic_negative_value_rate,0,,,,
P2,adult,TVAE,replace,0.0,knn_shapley,source_task_value_gap,0,,,,
P2,adult,TVAE,replace,0.05,data_oob,real_mean_value,5,0.8179000359730104,0.016941836379228234,0.7968639676774639,0.8389361042685569
P2,adult,TVAE,replace,0.05,data_oob,synthetic_mean_value,5,0.7891895995103639,0.03346352069099707,0.7476391506152061,0.8307400484055217
P2,adult,TVAE,replace,0.05,data_oob,synthetic_negative_value_rate,5,0.0,0.0,0.0,0.0
P2,adult,TVAE,replace,0.05,data_oob,source_task_value_gap,5,0.028710436462646392,0.03852587643996436,-0.019125757312103947,0.07654663023739673
P2,adult,TVAE,replace,0.05,knn_shapley,real_mean_value,5,0.0007807263240918982,1.5464375611578007e-05,0.0007615247656403015,0.000799927882543495
P2,adult,TVAE,replace,0.05,knn_shapley,synthetic_mean_value,5,0.0006733998422532386,0.00013219226151498867,0.0005092614702889402,0.000837538214217537
P2,adult,TVAE,replace,0.05,knn_shapley,synthetic_negative_value_rate,5,0.196,0.0589915248150105,0.1227523474380575,0.2692476525619425
P2,adult,TVAE,replace,0.05,knn_shapley,source_task_value_gap,5,0.00010732648183865961,0.00014618238554883498,-7.418292346887098e-05,0.0002888358871461902
P2,adult,TVAE,replace,0.1,data_oob,real_mean_value,5,0.8174827601055312,0.013333396870818554,0.8009271612372731,0.8340383589737893
P2,adult,TVAE,replace,0.1,data_oob,synthetic_mean_value,5,0.7887051862080312,0.04659094774296137,0.7308548837534031,0.8465554886626593
P2,adult,TVAE,replace,0.1,data_oob,synthetic_negative_value_rate,5,0.0,0.0,0.0,0.0
P2,adult,TVAE,replace,0.1,data_oob,source_task_value_gap,5,0.028777573897499954,0.042619040886118245,-0.02414095480876732,0.08169610260376722
P2,adult,TVAE,replace,0.1,knn_shapley,real_mean_value,5,0.0007766513637282177,2.4342474443685465e-05,0.0007464261895842983,0.0008068765378721372
P2,adult,TVAE,replace,0.1,knn_shapley,synthetic_mean_value,5,0.0006805377264456837,0.00013748581474742793,0.0005098265400100904,0.0008512489128812771
P2,adult,TVAE,replace,0.1,knn_shapley,synthetic_negative_value_rate,5,0.166,0.047749345545253286,0.10671135669866771,0.2252886433013323
P2,adult,TVAE,replace,0.1,knn_shapley,source_task_value_gap,5,9.611363728253407e-05,0.00015717956403474664,-9.905056863277399e-05,0.0002912778431978421
P2,adult,TVAE,replace,0.25,data_oob,real_mean_value,5,0.816968924030294,0.007549725746411057,0.8075947013746633,0.8263431466859247
P2,adult,TVAE,replace,0.25,data_oob,synthetic_mean_value,5,0.8096867059498987,0.006965135855817742,0.8010383475151316,0.8183350643846657
P2,adult,TVAE,replace,0.25,data_oob,synthetic_negative_value_rate,5,0.0,0.0,0.0,0.0
P2,adult,TVAE,replace,0.25,data_oob,source_task_value_gap,5,0.007282218080395331,0.005254768030619757,0.0007575617978626843,0.013806874362927978
P2,adult,TVAE,replace,0.25,knn_shapley,real_mean_value,5,0.0008012783795708845,2.4581351849768173e-05,0.0007707565999518478,0.0008318001591899212
P2,adult,TVAE,replace,0.25,knn_shapley,synthetic_mean_value,5,0.0007228848612872093,5.507917642190326e-05,0.0006544950308734185,0.0007912746917010002
