protocol,detector,calibration_policy,metric,n_seeds,mean,std,ci95_low,ci95_high
P3,datum_ta,source_only,detection_fpr,5,0.4178644763860369,0.5316787180948959,-0.24230184648352343,1.0780307992555973
P3,datum_ta,source_only,detection_tpr,5,0.43572895277207396,0.5163645144365022,-0.20542227475369873,1.0768801802978467
P3,datum_ta,source_only,detection_ece,5,0.28565314260095415,0.19982341212786098,0.03753960576355575,0.5337666794383525
P3,datum_ta,target_real_anchor,detection_auroc,5,0.6372632489912256,0.0758834278913852,0.5430415285182012,0.7314849694642499
P3,datum_ta,target_real_anchor,detection_auprc,5,0.6068399144948741,0.05336320976050348,0.5405807381066612,0.673099090883087
P3,datum_ta,target_real_anchor,detection_fpr,5,0.0539014373716632,0.0060522721368334535,0.04638654895202533,0.06141632579130106
P3,datum_ta,target_real_anchor,detection_tpr,5,0.10677618069815187,0.017156853148940863,0.08547313382064312,0.12807922757566062
P3,datum_ta,target_real_anchor,detection_ece,5,0.28565314260095415,0.19982341212786098,0.03753960576355575,0.5337666794383525
P3,datum_transformer,oracle_target,detection_auroc,5,0.5421867160126324,0.04317289962491024,0.4885804808503165,0.5957929511749482
P3,datum_transformer,oracle_target,detection_auprc,5,0.5192086168057927,0.040439541136524176,0.4689962944726905,0.5694209391388949
P3,datum_transformer,oracle_target,detection_fpr,5,0.03121149897330592,0.02897888274614834,-0.004770536440754702,0.06719353438736654
