protocol,detector,calibration_policy,quantifier,contamination_mode,metric,n_seeds,mean,std,ci95_low,ci95_high
P1,c2st_xgb,oracle_target,cc,append,prevalence_absolute_error,5,0.05707059821431998,0.001211503775649765,0.05556631759240774,0.05857487883623222
P1,c2st_xgb,oracle_target,cc,append,prevalence_error,5,-0.02225627012270125,0.003216937826439038,-0.02625062600625047,-0.01826191423915203
P1,c2st_xgb,oracle_target,cc,append,decision_regret,5,0.0007516166266196756,0.0001890568611446395,0.0005168715285229687,0.0009863617247163827
P1,c2st_xgb,oracle_target,cc,replace,prevalence_absolute_error,5,0.0784808571428571,0.0013288492797015198,0.07683087283321272,0.08013084145250149
P1,c2st_xgb,oracle_target,cc,replace,prevalence_error,5,-0.048768285714285715,0.003325308087613991,-0.05289720104961182,-0.04463937037895961
P1,c2st_xgb,oracle_target,cc,replace,decision_regret,5,0.005703858931960076,0.0017489455324260488,0.0035322562295273374,0.007875461634392815
P1,c2st_xgb,oracle_target,dys,append,prevalence_absolute_error,5,0.006143774041456605,0.0005641824105634287,0.00544324905384018,0.0068442990290730294
P1,c2st_xgb,oracle_target,dys,append,prevalence_error,5,0.0013143195668103799,0.0032884289735336963,-0.0027688043002765694,0.0053974434338973296
P1,c2st_xgb,oracle_target,dys,append,decision_regret,5,0.0007368666347111333,0.00021001913221273833,0.0004760934393085797,0.000997639830113687
P1,c2st_xgb,oracle_target,dys,replace,prevalence_absolute_error,5,0.00800131442996209,0.0011659301748634086,0.006553620907414775,0.009449007952509404
P1,c2st_xgb,oracle_target,dys,replace,prevalence_error,5,-2.4328377298670193e-05,0.0038810148155125736,-0.004843244750216056,0.004794587995618715
P1,c2st_xgb,oracle_target,dys,replace,decision_regret,5,0.005720444096501016,0.0017460439186946417,0.0035524442233752593,0.007888443969626773
P1,c2st_xgb,oracle_target,emq,append,prevalence_absolute_error,5,0.005710492410869442,0.0010735522378640006,0.004377501246922629,0.007043483574816255
P1,c2st_xgb,oracle_target,emq,append,prevalence_error,5,-0.0014746978532685939,0.0030345181100712593,-0.005242549742441404,0.002293154035904216
P1,c2st_xgb,oracle_target,emq,append,decision_regret,5,0.000742677649185028,0.0002052689716864482,0.0004878025570936574,0.0009975527412763984
P1,c2st_xgb,oracle_target,emq,replace,prevalence_absolute_error,5,0.006469842781963354,0.0010026157417666382,0.005224930911379357,0.007714754652547351
P1,c2st_xgb,oracle_target,emq,replace,prevalence_error,5,-0.0016540475981318293,0.002955636097247429,-0.005323954531875442,0.0020158593356117828
P1,c2st_xgb,oracle_target,emq,replace,decision_regret,5,0.005716032005846433,0.0017698296998059665,0.003518498184645589,0.007913565827047277
P1,c2st_xgb,oracle_target,hdy,append,prevalence_absolute_error,5,0.0051427392703813895,0.00035398200680815015,0.00470321255651579,0.005582265984246989
P1,c2st_xgb,oracle_target,hdy,append,prevalence_error,5,0.0007391677119987766,0.002854218712944552,-0.0028048129068639575,0.004283148330861511
P1,c2st_xgb,oracle_target,hdy,append,decision_regret,5,0.0007471643249538759,0.00020482586421143858,0.0004928394234615598,0.001001489226446192
P1,c2st_xgb,oracle_target,hdy,replace,prevalence_absolute_error,5,0.006289168629479772,0.0006194782252751561,0.005519984819484449,0.007058352439475094
P1,c2st_xgb,oracle_target,hdy,replace,prevalence_error,5,5.14617510756106e-05,0.002800982134642774,-0.00342641692512225,0.003529340427273471
P1,c2st_xgb,oracle_target,hdy,replace,decision_regret,5,0.005708210099890284,0.0017767621999977795,0.0035020684427837256,0.007914351756996844
P1,c2st_xgb,oracle_target,kdey,append,prevalence_absolute_error,5,0.00539954619835595,0.0006776638285258414,0.004558115419590484,0.0062409769771214155
